site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840480290032,1,10,20141026T0000-0600,88101,1440,0,8.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20140210T0000-0600,88101,1440,0,10.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20140210T0000-0600,88101,1440,0,9.8,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20140228T0000-0600,88101,1440,0,8.6,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20140228T0000-0600,88101,1440,0,9.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20140809T0000-0600,88101,1440,0,11.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20140809T0000-0600,88101,1440,0,10.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20141113T0000-0600,88101,1440,0,3.1,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20141113T0000-0600,88101,1440,0,3,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290032,1,10,20141125T0000-0600,88101,1440,0,4.2,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20140622T0000-0600,88101,1440,0,24,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20140622T0000-0600,88101,1440,0,26.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20141207T0000-0600,88101,1440,0,7.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20141207T0000-0600,88101,1440,0,6.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20141219T0000-0600,88101,1440,0,3.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20141219T0000-0600,88101,1440,0,4.6,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20141225T0000-0600,88101,1440,0,3.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20141225T0000-0600,88101,1440,0,9.3,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290032,1,10,20141111T0000-0600,88101,1440,0,6.6,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,1,10,20140704T0000-0600,88101,1440,0,9.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,1,10,20140704T0000-0600,88101,1440,0,10.9,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150217T0000-0600,88101,1440,0,3.5,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150217T0000-0600,88101,1440,0,3.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150130T0000-0600,88101,1440,0,6.5,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150130T0000-0600,88101,1440,0,6.3,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150917T0000-0600,88101,1440,0,5.8,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290059,0,10,20151210T0000-0600,88101,1440,0,13.1,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290059,0,10,20150729T0000-0600,88101,1440,0,15.4,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150729T0000-0600,88101,1440,0,15,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150424T0000-0600,88101,1440,0,18.9,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150424T0000-0600,88101,1440,0,18.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150927T0000-0600,88101,1440,0,13,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150927T0000-0600,88101,1440,0,12.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150611T0000-0600,88101,1440,0,5.9,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150611T0000-0600,88101,1440,0,5.1,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151027T0000-0600,88101,1440,0,4.5,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151027T0000-0600,88101,1440,0,4.4,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150810T0000-0600,88101,1440,0,7.8,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150810T0000-0600,88101,1440,0,8.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151009T0000-0600,88101,1440,0,14.3,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151009T0000-0600,88101,1440,0,14.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150331T0000-0600,88101,1440,0,10,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150331T0000-0600,88101,1440,0,10.4,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150211T0000-0600,88101,1440,0,6.6,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150211T0000-0600,88101,1440,0,7.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150816T0000-0600,88101,1440,0,10.1,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150816T0000-0600,88101,1440,0,11,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151120T0000-0600,88101,1440,0,6,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151120T0000-0600,88101,1440,0,7.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150106T0000-0600,88101,1440,0,5.5,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150106T0000-0600,88101,1440,0,7.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150822T0000-0600,88101,1440,0,7.6,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150822T0000-0600,88101,1440,0,8,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150307T0000-0600,88101,1440,0,5.8,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150307T0000-0600,88101,1440,0,7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151021T0000-0600,88101,1440,0,5.1,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151021T0000-0600,88101,1440,0,7.4,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150301T0000-0600,88101,1440,0,7.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150301T0000-0600,88101,1440,0,4.8,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150205T0000-0600,88101,1440,0,5.6,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150205T0000-0600,88101,1440,0,4.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150717T0000-0600,88101,1440,0,8.4,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150717T0000-0600,88101,1440,0,8.4,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150118T0000-0600,88101,1440,0,3.5,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150118T0000-0600,88101,1440,0,3.9,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150921T0000-0600,88101,1440,0,5.1,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150921T0000-0600,88101,1440,0,5.6,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151114T0000-0600,88101,1440,0,8.3,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290059,0,10,20150705T0000-0600,88101,1440,0,16.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150705T0000-0600,88101,1440,0,17.6,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290032,0,10,20150406T0000-0600,88101,1440,0,10.3,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150319T0000-0600,88101,1440,0,10.8,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150319T0000-0600,88101,1440,0,10,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290032,0,10,20150909T0000-0600,88101,1440,0,8.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151003T0000-0600,88101,1440,0,6.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151003T0000-0600,88101,1440,0,6.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150723T0000-0600,88101,1440,0,14,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150723T0000-0600,88101,1440,0,13.9,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290032,0,10,20150623T0000-0600,88101,1440,0,7.2,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151214T0000-0600,88101,1440,0,3.8,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151214T0000-0600,88101,1440,0,3.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150418T0000-0600,88101,1440,0,5.6,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150418T0000-0600,88101,1440,0,5.1,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150512T0000-0600,88101,1440,0,8.3,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150512T0000-0600,88101,1440,0,7.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150410T0000-0600,88101,1440,0,5.9,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290059,0,10,20150430T0000-0600,88101,1440,0,5.9,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150430T0000-0600,88101,1440,0,6.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150518T0000-0600,88101,1440,0,21,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150518T0000-0600,88101,1440,0,21,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151220T0000-0600,88101,1440,0,5.1,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151220T0000-0600,88101,1440,0,5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151102T0000-0600,88101,1440,0,7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290059,0,10,20150325T0000-0600,88101,1440,0,4.9,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150325T0000-0600,88101,1440,0,5.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290032,0,10,20151202T0000-0600,88101,1440,0,6.8,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150711T0000-0600,88101,1440,0,15.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150711T0000-0600,88101,1440,0,16.5,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151208T0000-0600,88101,1440,0,11.5,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151208T0000-0600,88101,1440,0,9.9,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150903T0000-0600,88101,1440,0,3.4,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150903T0000-0600,88101,1440,0,3.9,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150605T0000-0600,88101,1440,0,4.5,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150605T0000-0600,88101,1440,0,4.9,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150313T0000-0600,88101,1440,0,7.4,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150313T0000-0600,88101,1440,0,7.2,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150530T0000-0600,88101,1440,0,5.8,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150530T0000-0600,88101,1440,0,6.2,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290032,0,10,20150617T0000-0600,88101,1440,0,3.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150804T0000-0600,88101,1440,0,14.8,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150804T0000-0600,88101,1440,0,15.1,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150629T0000-0600,88101,1440,0,26.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150629T0000-0600,88101,1440,0,27.3,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150524T0000-0600,88101,1440,0,3.9,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150524T0000-0600,88101,1440,0,4.6,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150915T0000-0600,88101,1440,0,5.4,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150915T0000-0600,88101,1440,0,5.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150223T0000-0600,88101,1440,0,1.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150223T0000-0600,88101,1440,0,2,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151226T0000-0600,88101,1440,0,15.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151226T0000-0600,88101,1440,0,12.2,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150124T0000-0600,88101,1440,0,4.6,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150124T0000-0600,88101,1440,0,6.7,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150112T0000-0600,88101,1440,0,5.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150112T0000-0600,88101,1440,0,4.8,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150412T0000-0600,88101,1440,0,8.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150412T0000-0600,88101,1440,0,9.1,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150506T0000-0600,88101,1440,0,9.4,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150506T0000-0600,88101,1440,0,9.4,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150625T0000-0600,88101,1440,0,5.1,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290059,0,10,20151015T0000-0600,88101,1440,0,7.3,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151015T0000-0600,88101,1440,0,9,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20150828T0000-0600,88101,1440,0,11.7,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20150828T0000-0600,88101,1440,0,12.1,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
840480290059,0,10,20151126T0000-0600,88101,1440,0,4.2,105,0,1,29.275381,-98.311692,WGS84,151,145,1,2,,
840480290032,0,10,20151126T0000-0600,88101,1440,0,4.2,105,0,1,29.51509,-98.620166,WGS84,280,145,1,2,,
